category,category_ind
Бытовая техника -> Встраиваемая техника,0
Бытовая техника -> Климатическая техника,1
Бытовая техника -> Крупная техника для кухни,2
Бытовая техника -> Мелкая техника для кухни,3
Бытовая техника -> Техника для дома,4
Бытовая техника -> Техника для красоты и здоровья,5
Детские товары -> Детская комната,6
Детские товары -> Детская обувь,7
Детские товары -> Детская одежда,8
Детские товары -> Детские аксессуары,9
Детские товары -> Детские игрушки,10
Детские товары -> Детское питание,11
Детские товары -> Прогулки и путешествия,12
Детские товары -> Спортивные товары и активный отдых,13
Детские товары -> Товары для мам и малышей,14
Детские товары -> Хобби и творчество,15
Здоровье -> Витамины и БАДы,16
Здоровье -> Изделия медицинского назначения,17
Здоровье -> Лекарственные средства,18
Здоровье -> Лечебно-косметические средства,19
Здоровье -> Медицинские приборы,20
Здоровье -> Оптика,21
Здоровье -> Ортопедические изделия,22
Зоотовары -> Прочие товары и инструменты для животных,23
Зоотовары -> Товары для кошек,24
Зоотовары -> Товары для прочих животных,25
Зоотовары -> Товары для собак,26
Книги и канцелярия -> Канцелярия,27
Книги и канцелярия -> Книги,28
Книги и канцелярия -> Товары для школы,29
Красота и уход -> Косметические приборы,30
Красота и уход -> Личная гигиена,31
Красота и уход -> Макияж,32
Красота и уход -> Маникюр и педикюр,33
Красота и уход -> Парфюмерия,34
Красота и уход -> Подарочные наборы косметики и парфюмерии,35
Красота и уход -> Средства по уходу за телом,36
Красота и уход -> Уход за волосами,37
Красота и уход -> Уход за лицом,38
Мебель -> Зеркала и стекла,39
"Мебель -> Камины, печи и аксессуары",40
Мебель -> Комплектующие и фурнитура для мебели,41
Мебель -> Кровати и матрасы,42
Мебель -> Кухонные гарнитуры и модули,43
Мебель -> Мебель для ванной,44
Мебель -> Мебель для геймеров,45
Мебель -> Мебель для хранения,46
Мебель -> Мягкая мебель,47
Мебель -> Офисная мебель,48
Мебель -> Столы и стулья,49
Недвижимость -> Аренда жилой недвижимости,50
Недвижимость -> Коммерческая недвижимость,51
Недвижимость -> Продажа жилой недвижимости,52
Оборудование для бизнеса,53
"Одежда, обувь и аксессуары -> Аксессуары",54
"Одежда, обувь и аксессуары -> Аксессуары для обуви",55
"Одежда, обувь и аксессуары -> Багаж и аксессуары для путешествий",56
"Одежда, обувь и аксессуары -> Женская обувь -> Балетки",57
"Одежда, обувь и аксессуары -> Женская обувь -> Босоножки и сандалии",58
"Одежда, обувь и аксессуары -> Женская обувь -> Ботильоны",59
"Одежда, обувь и аксессуары -> Женская обувь -> Ботинки и полуботинки",60
"Одежда, обувь и аксессуары -> Женская обувь -> Домашние тапочки",61
"Одежда, обувь и аксессуары -> Женская обувь -> Кеды, кроссовки и слипоны",62
"Одежда, обувь и аксессуары -> Женская обувь -> Лоферы",63
"Одежда, обувь и аксессуары -> Женская обувь -> Мокасины и топсайдеры",64
"Одежда, обувь и аксессуары -> Женская обувь -> Резиновые сапоги и акваобувь",65
"Одежда, обувь и аксессуары -> Женская обувь -> Сабо",66
"Одежда, обувь и аксессуары -> Женская обувь -> Сапоги и полусапоги",67
"Одежда, обувь и аксессуары -> Женская обувь -> Сноубутсы",68
"Одежда, обувь и аксессуары -> Женская обувь -> Туфли",69
"Одежда, обувь и аксессуары -> Женская обувь -> Шлепанцы",70
"Одежда, обувь и аксессуары -> Женская одежда -> Блузы и рубашки",71
"Одежда, обувь и аксессуары -> Женская одежда -> Брюки",72
"Одежда, обувь и аксессуары -> Женская одежда -> Джемперы и кардиганы",73
"Одежда, обувь и аксессуары -> Женская одежда -> Джинсы",74
"Одежда, обувь и аксессуары -> Женская одежда -> Домашняя одежда",75
"Одежда, обувь и аксессуары -> Женская одежда -> Жакеты и жилеты",76
"Одежда, обувь и аксессуары -> Женская одежда -> Комбинезоны",77
"Одежда, обувь и аксессуары -> Женская одежда -> Костюмы",78
"Одежда, обувь и аксессуары -> Женская одежда -> Купальники",79
"Одежда, обувь и аксессуары -> Женская одежда -> Куртки",80
"Одежда, обувь и аксессуары -> Женская одежда -> Нижнее белье",81
"Одежда, обувь и аксессуары -> Женская одежда -> Носки, чулки, колготки",82
"Одежда, обувь и аксессуары -> Женская одежда -> Пальто и дубленки",83
"Одежда, обувь и аксессуары -> Женская одежда -> Парки и пуховики",84
"Одежда, обувь и аксессуары -> Женская одежда -> Платья, юбки и сарафаны",85
"Одежда, обувь и аксессуары -> Женская одежда -> Плащи и тренчи",86
"Одежда, обувь и аксессуары -> Женская одежда -> Толстовки и свитшоты",87
"Одежда, обувь и аксессуары -> Женская одежда -> Утепленные жилетки",88
"Одежда, обувь и аксессуары -> Женская одежда -> Футболки, майки и топы",89
"Одежда, обувь и аксессуары -> Женская одежда -> Шорты",90
"Одежда, обувь и аксессуары -> Женская одежда -> Шубы",91
"Одежда, обувь и аксессуары -> Карнавальные и праздничные костюмы",92
"Одежда, обувь и аксессуары -> Мужская обувь -> Ботинки и полуботинки",93
"Одежда, обувь и аксессуары -> Мужская обувь -> Домашние тапочки",94
"Одежда, обувь и аксессуары -> Мужская обувь -> Кеды, кроссовки и слипоны",95
"Одежда, обувь и аксессуары -> Мужская обувь -> Лоферы",96
"Одежда, обувь и аксессуары -> Мужская обувь -> Мокасины и топсайдеры",97
"Одежда, обувь и аксессуары -> Мужская обувь -> Резиновые сапоги и акваобувь",98
"Одежда, обувь и аксессуары -> Мужская обувь -> Сандалии",99
"Одежда, обувь и аксессуары -> Мужская обувь -> Сапоги",100
"Одежда, обувь и аксессуары -> Мужская обувь -> Туфли",101
"Одежда, обувь и аксессуары -> Мужская обувь -> Шлепанцы",102
